# id   lat         lon           alt   title /other title/, cat
8319   42.1817205   78.4448082     0  вер. пик Оюнтер
8320   42.2264463   78.4600502     0  вер. пик 20-лет Латвии
8321   42.3101780   78.8431707     0  пер. Атамбайтор, 1Б
8322   42.2754294   78.8088856     0  пер. Аксу, 2Б-3А
8323   42.0506520   78.1491585  4000  пер. Ашутор, 1Б
8324   42.0646333   78.1756972  4590  вер. Кызылсу
8325   42.2466829   78.7426096  4565  пер. Ледовый Ложный, 3А
8326   42.0467277   78.9655063  5100  вер. Менсу /пик Карпинского/
8329   42.0710389   78.9079250  4480  пер. Талдысу З., 2Б
8330   42.0362657   78.9088870  5285  вер. пик Советской Конституции
8331   42.0508860   78.7334778  5091  вер. пик Пархоменко
8332   42.0367917   78.6982801  5203  вер. пик Обручева
8333   41.9972224   78.6887127  4370  пер. Удобный, 1А
8334   42.0647752   78.6152554  4370  пер. КПИ, 2Б
8335   42.0752373   78.2132621  4496  вер. Котор, 1Б
8336   42.2063456   78.5782286  4365  вер. МГМИ
8337   42.2442687   78.5927229  4341  вер. 50-лет Труду /Пенсия/, 1Б
8338   42.3896814   79.0625661  3822  пер. Чонашу, н/к
8339   42.5759917   78.9388194  3264  вер. Чункуртор
8340   42.5385639   78.9353528  3652  вер. Тавлытор
8341   42.5476706   78.8816090  3215  вер. Коктобе
8342   42.4809924   78.8773227  3362  пер. Бозучукашу, н/к
8343   42.4691967   78.8814261  3723  вер. Бозучук
8344   42.3663800   78.8397560  4463  вер. Таштамбектор-Баши
8345   42.4465173   78.6877232  3742  вер. Буракан
8346   42.4913080   78.6223633  2986  вер. Коккия
8347   42.5014896   78.7960820  3700  вер. Тотугул
8348   42.5872967   78.7839551  2132  вер. Бозучук
8349   42.3403715   78.7222658  3820  пер. Жильвинас, 2А
8350   42.3561925   78.7396954  3982  вер. Аксу Нов.
8351   42.3595129   78.6438748  3310  пер. Чонташ, н/к
8352   42.2271667   78.6172333  4340  пер. Караколтор, 2А
8353   42.4264186   78.5091322  2888  вер. Кашкасу
8354   42.0703550   78.4948966  4656  вер. Борду
8356   42.2262707   78.4073665  3950  пер. Арчалытор, 2А
8357   42.2966639   78.3981037     0  пер. Аютор, 1А
8376   41.9438442   78.3073844     0  пер. Пилигрим
8377   41.9663833   78.3561500  5046  вер. 5046, 2Б
8378   41.9301176   78.2969550  4500  пер. Сарытор Ц., 2А
8381   41.7348488   78.0834575  3847  пер. Ак-Бель, н/к
8382   41.8205534   78.2079635  4956  вер. пик СНК Киргизии
8383   41.9446392   78.3497862  4920  вер. Рикошет
8384   41.9539600   78.3621747     0  вер. пик Пермь
8385   41.8574395   78.3877857  5100  вер. пик Айгюль
8386   41.8762430   78.4265605  5026  вер. пик Меридиан
8387   41.7871813   78.1801286     0  пер. Гляциологов
